"Year","Month","Temperature","City"
1965,11,46.7,"NYC"
1965,12,40.5,"NYC"
1966,1,32.2,"NYC"
1966,2,35,"NYC"
1966,3,42.6,"NYC"
1966,4,49.7,"NYC"
1966,5,61.5,"NYC"
1966,6,75.4,"NYC"
1966,7,79.6,"NYC"
1966,8,76.9,"NYC"
1966,9,66.5,"NYC"
1966,10,56.1,"NYC"
1966,11,48.9,"NYC"
1966,12,35.7,"NYC"
1967,1,37.3,"NYC"
1967,2,29.2,"NYC"
1967,3,37.5,"NYC"
1967,4,49.5,"NYC"
1967,5,55.2,"NYC"
1967,6,72.8,"NYC"
1967,7,75.3,"NYC"
1967,8,73.8,"NYC"
1967,9,66.7,"NYC"
1967,10,57.2,"NYC"
1967,11,42.4,"NYC"
1967,12,38.2,"NYC"
1968,1,26.7,"NYC"
1968,2,28.8,"NYC"
1968,3,43.2,"NYC"
1968,4,55,"NYC"
1968,5,59.6,"NYC"
1968,6,69.7,"NYC"
1968,7,77.3,"NYC"
1968,8,76,"NYC"
1968,9,70.6,"NYC"
1968,10,60.5,"NYC"
1968,11,46.9,"NYC"
1968,12,34.2,"NYC"
1969,1,31.8,"NYC"
1969,2,32.6,"NYC"
1969,3,40,"NYC"
1969,4,55.9,"NYC"
1969,5,65.2,"NYC"
1969,6,73.1,"NYC"
1969,7,74.7,"NYC"
1969,8,77.4,"NYC"
1969,9,68.9,"NYC"
1969,10,57.6,"NYC"
1969,11,46.3,"NYC"
1969,12,33.3,"NYC"
1970,1,25.1,"NYC"
1970,2,33,"NYC"
1970,3,38.7,"NYC"
1970,4,52.1,"NYC"
1970,5,64,"NYC"
1970,6,70.8,"NYC"
1970,7,77.1,"NYC"
1970,8,77.6,"NYC"
1970,9,70.8,"NYC"
1970,10,58.9,"NYC"
1970,11,48.5,"NYC"
1970,12,34.4,"NYC"
1971,1,26.9,"NYC"
1971,2,35.1,"NYC"
1971,3,40.1,"NYC"
1971,4,50.8,"NYC"
1971,5,61.3,"NYC"
1971,6,74.2,"NYC"
1971,7,77.8,"NYC"
1971,8,75.9,"NYC"
1971,9,71.5,"NYC"
1971,10,62.7,"NYC"
1971,11,45.1,"NYC"
1971,12,40.7,"NYC"
1972,1,35,"NYC"
1972,2,31.4,"NYC"
1972,3,39.7,"NYC"
1972,4,50.1,"NYC"
1972,5,63.2,"NYC"
1972,6,67.8,"NYC"
1972,7,77.1,"NYC"
1972,8,75.6,"NYC"
1972,9,69.5,"NYC"
1972,10,53.5,"NYC"
1972,11,44.3,"NYC"
1972,12,38.5,"NYC"
1973,1,35.5,"NYC"
1973,2,32.5,"NYC"
1973,3,46.4,"NYC"
1973,4,53.3,"NYC"
1973,5,59.4,"NYC"
1973,6,73.4,"NYC"
1973,7,77.3,"NYC"
1973,8,77.6,"NYC"
1973,9,69.5,"NYC"
1973,10,60.2,"NYC"
1973,11,48.3,"NYC"
1973,12,39,"NYC"
1974,1,35.2,"NYC"
1974,2,31.7,"NYC"
1974,3,42,"NYC"
1974,4,55.1,"NYC"
1974,5,60.9,"NYC"
1974,6,69,"NYC"
1974,7,77.2,"NYC"
1974,8,76.4,"NYC"
1974,9,66.7,"NYC"
1974,10,54.1,"NYC"
1974,11,48.2,"NYC"
1974,12,39.3,"NYC"
1975,1,37.3,"NYC"
1975,2,35.8,"NYC"
1975,3,40.1,"NYC"
1975,4,47.9,"NYC"
1975,5,65.8,"NYC"
1975,6,70.5,"NYC"
1975,7,75.8,"NYC"
1975,8,74.4,"NYC"
1975,9,64.1,"NYC"
1975,10,59.2,"NYC"
1975,11,52.3,"NYC"
1975,12,35.8,"NYC"
1976,1,27.3,"NYC"
1976,2,39.9,"NYC"
1976,3,44.4,"NYC"
